AAAS|Auctioneer Andrew Schechter
ABBM|Andy Bullis
ABIR|Abirose
ABOU|About Face
ABTT|Air Brush Tattoons
ABVM|Everyman
ACCO|Accordion Plus
ACHA|Alice Conway- Harpist
ACPD|Alan Campbell Pipes & Dru
ADBB|Austin DeLone Blues Band
ADMI|Admirals
AEVA|Andy Evans
AFPI|Ann Finn
AGKD|Ashtin Golt
AHAR|Alexandria Harmonizers
AIME|Art In Motion Entertainment
AIRF|Air Force Band
AIRP|Airplay
AJPI|AJ Luca
AJSM|DJ AJ Smith
AJVA|A & J Video Amusements
AKMQ|Marquise
AKSC|Sound Connection
AKSN|Sound Nation
ALAI|Alain Nu
ALAN|Alan Benson
ALBI|Aleksis Bilmanis
ALJS|Avalon Lights
ALLO|Allons-y
ALMF|Anibal Lopez & Mariachi Fiesta Trio
ALMK|Mike Moniodis
ALPE|Alpen Falshen Dancers
ALRF|Alexandria Royal Fyfes
ALST|"All Stage & Sound| Inc."
AMAR|Amaretto
AMCR|Amilcar Cruz
AMER|American Acrobats
AMGS|McGinley Gospel Dixieland Jazz Ensemble
AMIX|Amusitronix
AMPH|Amazing Photos!
AMUU|Amusements Unlimited
ANAS|Anastasia Summers
APPL|Apple Dumpling The Clown
ARND|Around The Block
ARTO|The Arlingtones
ARTW|Artworks
ASSS|Alana Shor Silverman
AUDI|Audio Visual Imagineering
AWRD|All Ways Rockin' Dance team
BACK|Good Life Theatre
BALP|Barry Louis Polisar
BAMB|Bambo
BAOB|Barry O'brien
BAPL|Baltimore Ravens - Player
BARA|Baltimore Ravens - Mascot
BARC|Baltimore Ravens Cheerleaders
BARL|Barbara Reils
BARN|Barney
BATT|Battersby Duo
BAVA|Bavarian Duo
BAVP|Barbara Van Patten
BBCH|Bbchael O'hamlin
BBDB|Deanna Bogart
BBRA|Benny Braxton
BBSU|Bbs Unlimited
BCAL|Big Cam and the Lifters
BCGS|Bill Crews & The Gospel Sensations
BCMO|Moonbounce
BCOM|Beth and Command Performance
BCYR|Becket Cyrus
BDUN|Barbara Dunietz
BEAM|Bernie's Amusements
BEAS|Benefit Auction Specialists
BEAT|Beatlemania
BEHO|Bernie Horsman
BELA|Bel Airs
BENC|Benjamin Corey
BENZ|Zweig Photography
BEYO|Beyond Balloons
BFIM|Bonnie Fairbank
BFIN|Billy Finch
BGEI|Becky Geiger
BGUR|Barry Gurley
BHAR|Bill Harris
BHEC|Bob Heck
BHOW|Ben Howard
BIGC|Big Country Amusements
BIGR|Bill Gross
BISC|Biscaynes
BITT|Bittersweet
BJBB|Big Jesse and his Blues Band
BJDN|BanjerDan
BJIR|Benji Rafaeli
BJOH|Bernard Johnson
BLNT|Bella Notte Solutions
BLSK|Blue Sky 5
BLUE|Blue Sky Puppet Theatre
BLZE|Blaze
BMAN|Barbara Mandrell
BMBE|MBE Entertainment
BMIT|Bob Mitchell
BOBM|Slim Bob New Electrics Blues Band
BPER|Barbara Perry
BRAB|Bruce's Airbrush
BRAL|Brass Alley
BRAS|Brass Quintet
BRFO|Bruce Follmer
BRID|The Bridge
BRIN|Brian Nelson
BRKO|Brian Kooken
BRLI|Brian Litz
BRTP|DJ Britt
BRUM|Bruce Mitchell
BRUN|Bruno Nasta
BRUS|Bruce Swaim
BRVI|Brian Violett
BRYS|Bryan Stuller
BSEI|Barbara Seidman
BSHE|Ben Sherman
BSMI|Becky Smith
BSOM|Bob Somerby
BSWA|Belinda Swanson
BTAY|Barry Taylor
BTBE|Bobby & The Believers
BUBB|Bubbles The Clown
BURN|Burnette Thompson
BWOO|Barry Wood
CABC|Caberet Carols
CAIS|Caiso
CALM|The Calmes Trio
CAPE|Charlie Peterson
CAPS|Capitol Steps
CARF|Carol Falvo
CARK|Carolyn Kessler
CARM|Carmelo Pino
CARN|Carolyn Kellock
CAST|Cast Of Thousands
CATA|Catalina
CATP|Cathy Palmer
CBSA|Charles Bailey
CBSP|"Creative Balloons and More| Inc."
CCKL|Charm City Klezmer
CCOC|Caribbean Cocktails
CDLB|Los del Barrio
CELI|Mostly Music
CEMM|"Milkshake Music| Inc."
CENT|Robert Judson
CHAM|Chris America
CHBR|Charles Brady
CHCO|Champange Consort
CHEK|Checkered Past
CHMR|Chuck Marcus
CHMS|Cheeky Monkey Sideshow
CHOC|Capitol Chocolate Fountains
CHPE|Chris Petruccelli
CHRK|Chris Kyriopoulos
CHRP|Christmas Bel Canto
CHUB|Chuck Bollinger
CIIC|Carmen's Italian Ice & Cafe
CLAS|Classified
CLWN|Clown
CMCO|The Fabulous Bagel Boys
CMPI|Capital Music Pianist
CMSS|Capital Music Sound System
CNCL|Con Candela
COCS|Christopher Smith
CONF|Confection
CPRT|Capital Party Rentals
CPTQ|Captain Quint
CRAW|Crawdaddies
CRCL|Crazy Clix
CREH|CRE and Associates
CRIV|Chris Vadala
CRNI|Carnival Day
CRVD|Carolyn Videography
CRYS|Crystal Strings
CSID|Culkin School of Traditional Irish Dance
CTET|Cirque-Tacular Entertainment LLC
CWHT|Hit Time
CYKS|Kaleidoscope
DABE|Dale Bellovich
DACK|David Carlin King
DAEY|Dan Reynolds
DALL|Dallas Cowboy Cheerleader
DAMA|Dawn Maclear
DAMI|Damian Hart
DAVN|Da Vinci's Notebook
DAVT|Dave Taylor
DBAC|David Bach
DBBE|Debbie Bullis
DBEN|Debbie Benner
DBIN|Danny Binstock
DBRE|Dave Breeskin
DCBG|"Woodwinds Productions| LLC"
DCCH|Dr. Chang
DCED|David Cedeno
DCFI|DC's Finest
DCIM|David Caruso Look-a-Like
DCNE|First Dance Impressions
DEAS|Dreamstreet
DEBB|Debbie Brimmer
DEBV|Debbie Varga
DEIC|Dehrric Richburg
DETM|Deney Terrio and Motion
DFAG|Drag Freak Bingo
DFRD|Dana Friend
DFSK|Smooth Kentucky
DGEY|David Geyer
DGNS|Doug Nelson
DIAM|Diamond Alley
DIFT|Drifters
DIGI|Digital Lightning
DISO|Jessie & James
DITP|Dance in Time Productions
DIXI|New Line Brass Band
DJAT|DJ Ateet
DJCO|DJ Connection
DJDS|Dave Sherman
DJFY|DJ Frank
DJTK|TK The DJ
DLEO|Dan Leonard
DMON|Dennis Monke
DMRR|Rick Rowe
DMTS|Tall in the Saddle
DNCH|Don Chapman
DNMT|Dean Martin Impersonator
DOCS|Doc Scantlin
DONS|Don Stapleson
DORB|Dan Orban
DOSA|Doug Sandler
DOSO|Donato Soranno
DOWN|Downtown Delagation
DOWO|Dr. Wounder
DOXP|Donegal Xpress
DREF|Elle Fitzgerald
DROR|Doctors Orders
DSTE|Dick Steiner
DSTI|Donna Stivers
DUEL|Dueling Pianos
DVRO|Rock Quartet
DVST|Da Vinci Strings
DWCM|The David Wayne Band
DWIS|Dale Wise
DWOL|Doug Wolters
DZEE|David Zee
EDAW|Eight Days A Week
EDDO|Ed Downey
EDGO|Peabody Ragtime Ensembles
EEJR|Free Spirit
EELO|DJ Elon
EERM|Round Midnight
EHAY|Esther Haynes
EJDJ|EJ The DJ
ELAN|Elan Artists
ELIT|Elite
ELNA|El Naar
ELPE|Elite Party Entertainment
ELRE|Elvis E
ELWA|Sam Elway
ELWH|DJ Elliott White
ENCO|Entertainment Connection
ENTP|Entertainment Package
EROK|DJ Erok
ESCA|Escapade 2
ESCO|Eric Scott
EUGE|Eugene Johnson
EVCQ|Evergreen Christmas Quart
EWAB|Ewabo Band
EXPR|Express
FABU|Fabulous Fantoms
FACK|Face Painting By Kathy
FADA|Fandango
FANC|Fancy Pants
FANF|Fan Fan & Friends
FART|Flamenco Art
FAWO|Fantasy World Entertainment
FCAS|Frank Cassel
FEFE|Full Effect
FFDS|Fast Forward Entertainment
FFPR|Fast Forward Projector
FIFT|Fifth Avenue
FKAY|Frank E. Kaye
FLEN|"Fifth Level Entertainment| LLC"
FLHO|Fools and Horses
FNYM|You Tube @ Your Party
FOAM|Air Brush Magic
FOCP|Click Pix
FOIM|Imagine Me
FONT|Novel-T's
FOSI|A Sweet Idea
FOSS|Laserography
FOTO|Foto2Go
FOTS|Top Shelf Photos
FOZO|FotoZone
FPFW|Face Works Events
FPLU|Frank Plumer
FRAC|Vintage Entertainment
FRAL|Frank Alesi
FRDJ|Tyler Joyce
FREB|Frebragin Fiddlers
FRES|Fresh Air
FRGT|Four Get About it
FRHZ|Horizon .
FRKY|Frankie Kay
FRMO|Dj Fred Moss
FRSC|So Fresh Ent. MC Chad R
FRSD|So Fresh Ent. MC
FRSH|Fresh
FRSM|So Fresh Ent. MC Michael
FRSP|So Fresh Ent. MC Purnell
FRSR|So Fresh Ent. MC Moses
FRTM|Time Machine
FRVI|Vintage
FRWE|Franklin Weisberg
FRWO|Fred Woodaman
FSAV|Avalon
FSBA|Four Star Band
FSBT|Black Tie
FSEN|Encore
FSFC|Full Circle
FSGB|Four Star Horns
FSMI|Millennium
FSMU|Four Star Musician
FSPR|Prelude
FSPT|Prime Time
FSSP|Spectrum
FSTP|Triple Play
FTSR|Fortune Teller
FTTA|4Star Entertainment
FUGI|The Fugitives
FUNC|Fun Company
FUNE|Fun Events
FUNK|Funkonots
FUPD|Fusion Dancers
FUSE|Fun Services
GALA|Gary Law Photography
GALX|Galaxy
GAOR|GA Orndorff
GARO|Gail Romiti
GATC|Geraldine Amaral
GAZZ|Gazze Band (The)
GDAS|lanieGreg Dash
GEBA|Gene Bass
GEDO|Gene Donati & Orchestra
GEJM|George Jamison
GEMM|Great Eastern Military Music Company
GENE|Generic Contract
GFOO|General Foolishness
GGAL|George Galanos
GGBP|The Cavaliers Featuring The Royal All Stars
GJON|George Jones
GKUN|Gerry Kunkel
GLAL|Glyde Productions- Ali
GLAR|Glyde Productions- MC A2
GLCC|Glyde Productions- MC Chris Cross
GLIC|Glyde Productions- Ice
GLIS|Glyde Productions- Ish
GLJP|Glyde Productions- Joey P
GLKE|Glyde Productions- Keith
GLKK|Glyde Productions- Koko
GLKO|Glyde Productions- Kayo
GLPD|Glyde Productions
GLSP|Glyde Productions- Spots
GLSS|Glyde Productions- Sunshine
GLTG|Glyde Productions- Tiggah
GLYD|Glyde
GMAP|Greg May
GOBR|Greg O'Brien
GOOD|Good Vibrations
GPER|Glenn Pearson
GRAN|Grandsons
GRAP|Great American Party
GREA|Greaseband
GREG|Greg Hicks
GRHE|Greg Henneghan
GRLU|Greg Lupton
GROS|Gross National Product
GSHA|Gail Shanta
GTPT|Georgetown Phantoms
GYPS|Gypsy Strings
HAAA|Harp and Accordian
HALO|Hawaii Aloha
HANO|The Have Nots!
HARM|Figgy Puddings
HCBA|Haute Chile
HCBP|Hal Cummings
HEAK|Heather Kyle
HEAL|Henry Alonzo
HEAR|The Heartbeats
HEHC|Ultimate Amusements
HENC|Henna By Carole
HERA|Herald Trumpets
HERO|Hero
HFIM|Holly Faris
HGML|Main Line Affair
HHAN|Heidi And Hans
HKOR|Henry Kornblatt
HMIN|Howard Mincone
HMON|Hula Monsters
HOAL|Ho Aloha
HOLC|The Holiday Carolers
HORI|Horizonte
HORW|Horse & Wagon Ride
HSBT|Blues Therapy
HUCP|Fabulous Hubcaps
IGIT|Ira Gitlin
ILYA|ilyAIMY
IMPA|Impact
INEN|Interactive Entertainment
INVI|Invitation
IONA|Iona
IREX|The Exiles
IRON|Ironweed
IZTR|Izolda
JABR|"The Northern Light| Inc."
JABU|Jack Burton
JAEN|BArry Gurley Quartet
JAGD|Glen Douglas
JALB|John Albertson
JAMB|Jambulay
JANH|Jan Holland
JANN|Janine Wilson
JATA|Jan Taylor
JAWI|Jami Williams
JAYC|Jay Cooley
JCAP|Aloha Entertainers
JCGP|Jay Cooley Group
JCNP|New Palladium
JEAS|Jonathan Eastman
JEDU|Jed Duvall
JEKE|Jessie Kellogg
JELE|Jean Lecket
JELL|Jellyroll
JENA|Jen Albright
JEND|Jennifer David
JEWI|Jessica Wing
JFOL|Joe Falero & The Latin All Stars
JGEL|Joan Geller
JGIM|Justin Gaudian
JGRO|Jack Groves
JHMA|John Masterson
JIMF|Jim Frank
JIMG|Jim Gossett
JIMW|Jim Wass
JINA|Craig Nally
JINB|Jim Nieb
JLEV|Jason Levinson
JLMS|Moonshine Society
JMAA|AfroBop Alliance
JMJJ|Joey and the Jammers
JMNB|Jimmy Nalley
JMWE|JMW Entertainment
JNAR|The Johnny Artis Band
JNMA|Josh Norris Interactive Magic
JOBE|John Bell
JOCA|Game Show Mania II
JODA|John Dawson
JODO|John Dodge
JOER|Joe Romano
JOKE|Jokesters
JONE|Jon Enten
JONS|Jon Simon
JOSO|MC Jordan
JOTH|John Thompson
JOYV|Joyous Voices
JPAT|John Partick
JPEN|Proper Entertainment
JPSE|Jackie Payne / Steve Edmonson Band
JPST|JumpStreet
JRAY|Joe Ray
JRCR|Jr Cline & The Recliners
JSIN|Joan Singer
JSSH|Joanna Sheehan
JSTA|Jack Stanton
JSTL|Justin Lees
JSWM|Stands With Many
JTIL|Jason Tillman
JUCL|Jubilee the Clown
JVBP|Jan Varner
JWRE|John Ware
JZIM|Jennifer Zimmerman
KABU|Kabuki
KAER|Kaerwyn
KANK|Kankouran African Dance
KAOS|Kaos
KBER|Thin Air Productions
KCWM|KC & The Sunshine Band
KDEV|Karen Devitt
KENL|Ken Langosch
KENM|Kenny March
KGRO|Ken Groves
KIMS|Kim Sator-Randolph
KIND|Kinderman Show
KJEP|Kristen Jepperson
KKAI|Kagetsu Kai
KLAS|The Klassix
KLPA|Keith Larsen Sound
KMEI|Keith Meidling
KNLR|Pucker Up Impressions
KOLC|Kol Chayam
KOLH|Kol Harvach
KOLI|Kevin Olivera
KOTO|Koto Player
KOTT|Tapestry
KPSS|Sachiko Smith
KREN|Paul Krendl
KVOB|Kevin O'Brien
KYED|Kyle Edgell Caricature Entertainment
KYPE|Kym Perfetto
LALU|Lookalikes-USA
LAPR|La Predilecta
LAVM|Lavalier Mics
LBAU|Larry Baukin
LBOO|Larry Boozer
LCRR|Living Classroom
LDAX|Linda Axelrod
LEBA|Lee Bailey
LECO|Les Collins
LEGZ|Leggz
LEMR|Leigh Marshall
LEOE|Smooth Pan Sounds
LESG|Lemonade Shaking Guy
LETS|Let's Face It
LIBU|Leah Adams
LIGL|Living Gloves
LIQD|Liquid Productions
LIZD|Liz Demery
LJJR|Lennard Jack Jr.
LLAY|Larry Lay
LLEA|Linda Leach
LMCU|Lynn Mccune
LMOR|Leon Morris
LMUN|Lauren Muney
LMVD|Larmar Video
LOCO|Los Compadres
LOHR|Lohr Entertainment
LONG|The Loan Gunman
LOOK|Look At Me Now (old)
LORP|Lori Peters
LOTW|Look At Me Now!
LOXV|Lox And Vodka
LPEI|Leslie Peikin
LPOL|Lisa Polinori
LRZT|Little Red &The Renegades
LTAP|Lloyd Thompson & Partner
LTCH|Louis Taylor Jr. Ceremony Horns
LULA|Lula
MAAJ|Memory of African Culture
MACH|Machaya
MACM|Mac McCall
MACO|Mambo Combo
MADA|Madame Lasagna
MAFI|Mariachi Fiesta
MAGB|George Bradley
MAGO|Mark Goldstein
MAGU|Mark Gutierrez
MAHI|Mahina
MALC|Puck & Kecia
MAMA|Mama Jama
MANN|Manny Bobenrieth
MAPT|Paul Trattner
MARO|Mario Rocco
MASH|Masayo Ishigure
MATT|Matt Ripatoe
MAUB|Mike Aubin
MBAR|Michael Bard
MBHH|Higher Hands
MCAL|Marge Calhoun
MDDU|Medulla
MDEN|Mark Dennis
MDMV|Midnight Movers
MDOM|Mike Dombroski
MEAD|Equipment Rental
MEAG|MC Andy Gotsch
MECC|Custom Caps
MECR|Chain Reaction
MEDK|Drum Karaoke
MEDM|DJ Matt
MEDR|Dance Dance Revolution
MEDT|Dog Tags
MEET|MC E-Train
MEEV|Extreme Video Imaging
MEFF|Fantasy Faces
MEFL|Fusion Floor
MEHS|High Society
MELI|KSI Productions
MEMG|MC G
MEMO|Money Booth
MEMS|DJ Stix
MEMV|Music Video Productions
MENT|New Town
MEPG|Pure Gold
MEPS|Party Shooz
MERR|Rockin Recording Booth
METT|The Teleporter
MEWH|Wax Hands
MEXP|X-Project
MFIR|Moonfire
MFOX|Mike Fox
MGAB|Michael Gabel
MGBR|Magic Movement Dancer- Betsy
MGEO|Michael George
MGFS|Freddie Stevens
MGLL|Magic Movement Dancer-Lane
MHAS|About Faces Entertainment
MHLS|Michael Horne
MHOO|Michael Hoover
MIDN|Midnight Rodeo
MIKE|Mike Rose
MIRE|Michael Rease
MISU|Mike Surratt
MJAS|Mark Jaster
MKEA|Michele Kearney
MKLI|Marcia Klioze
MKNZ|Mark Nizer
MKPL|Mark Phillips
MKRS|Michael Rosman
MKUL|Matthew Kuldell
MLAR|Melanie And Rick
MLEV|Michael Levick
MLIG|Moonlighters
MLOS|Mariachi Los Amigos
MMCP|Corporate Pitstop
MMEP|Mariachi Music Entertainment
MMFR|Maurice Michaux
MMIL|March Militaire
MMOA|Memories Of Africa
MNOV|Mark Novak
MOGO|Mona Goldstein
MONT|Montebello Strings
MONU|Monumental Brass Quintet
MOOD|Mood Swings
MORE|More Than Music
MOSH|Moshany
MPBD|The Amazing Bottle Dancers
MPDB|747 Dance Band
MRBP|Mr. Bump
MRPM|Pirate Mike
MRSK|Marc Rosenkoetter
MRWB|Mr. Wilson Band
MSMB|Morgan State University Marching Band
MTPD|Meki's Tamure Polynesian Dance Group
MUNG|Make-Up Artistry
MUSI|Music Videos
MVAC|Michael Vaccaro
MVAL|DJ Michael Valenti
MWEB|Erin Boheme
MWIG|Matt Wigler Trio
MWRB|Marc Wilner
MWTD|Tony DeSare
MXCO|Mixed Company
MYST|"Theme Parties| LLC"
MYWA|Mystic Warriors
NANO|Nancy Norris
NCON|Leigh Marshall
NECC|Bingo
NECE|New Censation
NECS|New Columbia Swing
NEPW|New York Party Works
NEVI|Neville Johnston
NEWS|New Stages
NIGH|Night & Day
NLJB|New Legacy Jazz Band
NMON|New Monopoly
NOWT|Now This!
NTLF|Night Life
NWEA|Norm Weaver
NYAN|Nyansa
NYEX|New York Experience
OASI|Oasis
OLIV|Olivera Music
ONST|On Stage Entertainment
ONYX|Onyx
OPRD|Radiant
OUTR|Outrageous Olympics
PAAC|Parisian Accordianist
PAAV|IMS Audio Visual
PABE|Parrotbeach
PAHA|Part Harmony
PALN|Patrick Alban & Latino Noche
PARK|Park Avenue
PASI|Paul Singleton
PBEL|Paul Belanger
PCSW|Personalized Classics
PEAN|Peanutbutter
PENT|Player Entertainment
PHCA|Terry LeBan
PHDS|DJ Donnie
PHEC|East Coast Event Group
PHGI|Mark Furman
PHIA|Impact Ent.
PHIL|Phil Mathieu
PHIN|Phil Hinton
PHLA|Lounge Around
PHLH|Philly Hops Ltd.
PHMJ|Marc D. Johnson
PHSS|Shaw Strings
PIAF|Portraits In A Flash
PICT|Picture This!
PMJA|PM Jazz
POAS|Pop-A-Shot
PONY|Amusements By Pony Express
PPRZ|Paul  Przedpelski
PREE|Patty Reese Band
PSBQ|Phil Snedecor Brass Quintet
PTBT|Parties by Terrye
PTDN|Party Dancers
PWEE|Pamela Weest-Carrasco
PZAG|AP3- MC Angel
PZAI|DJ Adam
PZAM|AP3- MC Styles
PZAN|DJ Andy Green
PZAP|School Party Bash
PZBC|DJ Bill Cook
PZBL|DJ Brian Ligenfelter
PZCH|Carroll Higgins
PZCW|AP3- MC L.A.
PZDC|DJ David Chachere
PZDH|DJ Dustin
PZDJ|DJ Pizazz
PZDN|RPM Dancers
PZDP|AP3- MC Danielle
PZDT|Double Time
PZDU|DJ Chuck Miller
PZGF|DJ Greg Franklin
PZGR|Full Rockin` Karaoke- Greg
PZGT|Go Text Live
PZHM|AP3 MC H-Mack
PZJD|AP3- MC Johnny Diva
PZJG|DJ Joe Gibson
PZJH|Full Rockin` Karaoke - Johnny
PZJS|DJ James Stewart
PZK2|Full Rockin` Karaoke 2
PZKE|AP3- DJ King XIII
PZKM|Kara McKenzie
PZLA|MC Lance
PZLB|DJ Tina
PZLR|AP3- MC Lynette
PZMD|DJ Matt Dyer
PZMP|DJ Mike Parris
PZRG|DJ Russ Greenberg
PZRM|DJ Chaos
PZRV|DJ Ray
PZSB|DJ Steve Bell
PZSE|DJ Sean Pritchet
PZSF|DJ Scott Fleisher
PZSL|DJ Sean Logsdon
PZSM|DJ Scott Miller
PZSO|AP3- MC Soph-E
PZSP|Steward Pumphrey
PZSS|DJ Spencer
PZSW|DJ- Steve Wolf
PZTY|DJ Tyrone
PZVG|DJ Vincent Gregory
PZZA|DJ Zack Higgins
RAGG|Raggs & The All Star Swing Society
RARM|Richard Armstrong
RARR|Rich and the Roadrunners
RATP|Rat Pack
RATW|Ruthie & The Wranglers
RCHG|Richie G
REDS|Washington Redskins Cheerleaders-PFI Inc.
REGE|Regency
REND|Rendezvous
REPT|Reptile World
RFBT|Rebecca Frezza & Big Truck
RHRR|Richard Herridge
RICH|Richie Allen
RICO|Rico Mills
RIVE|Riverside Brass
RKDJ|MC Reggie
RKMA|Rob Kras
RKWT|Rick Wright & Company
RMAR|Richie Marlow
RMBS|Boom Sound
RMIL|Richard Miller
ROCK|Rocky Korr
RODO|Rebecca O'Donnell
ROHA|Ro Harrison
ROMO|Roz & Nat Morgan
RONJ|Ron Jeffreys
RORO|Robin Rosenbloom
ROSE|Rose Rosetree
ROYB|Roy Beyer
RPOT|Rich Potter
RPWP|Rojas Photography
RSTE|Rienzi String Ensemble
RSTR|Robert K. Strong
RUBB|Rubberband
RUSM|Mark Russell
RWBP|Rob White
SABR|Sabrina Mandell
SAHB|The Satyr Hill Band
SALD|Sal Derafelli
SASH|Sasha
SCKA|Scott Kalin
SCOF|Scott Fertig
SCTZ|The Zippers
SDOC|Steve Dockendorf
SECO|Second Nature
SEKI|Alexandria Kleztet
SERE|Serenata
SFLE|Shelly Flex
SFLN|Steve Flynn
SFMS|Soul Fusion
SHBZ|ShowBiz
SHEB|Shelley Berman
SHEI|Sheiks Of Dixie
SHEL|Sheila Lynch
SHOT|Shots
SHOW|Show Biz Productions
SHUH|Shu Junli-Horn
SINM|Sin Miedo
SIRO|Silk Road Dance Company
SKAK|The Alexandria Kleztet
SLAR|Party Har Har
SMLO|Sam Lorch
SNAP|Snaps
SNDR|Sandra Rutson
SOWB|Southern Winds Band
SPED|Special Delivery
SPEE|Speed & Thro Illusionists
SPIL|Spiral
SPIN|Spinny
SPJM|Sons of Pirates
SPRB|"SOA Robotics| LLC trading as Sprockit"
SPRH|Robotics Technicians
SPYD|"Spyder & Glyde Productions.|LLC"
SQUE|Squeeze Bayou
SRET|Stage Right Entertainment
SSGA|George Alderson
SSTR|Stereo Strings
STAN|Stanley the Magician
STAO|Starlite Octette
STAR|Starfire
STEP|Steppin' Out
STES|Steve Sachs
STFL|Starflight
STIC|Karen Carbone Entertainment
STLI|Steve Little
STMY|Steve Myers
STOR|Steve Ornstein
STPO|Steve Ports
STRE|Street Life
STTG|Shrewsbury Strings
STUD|The Studio
STUE|studio e
STWA|Stephon Walker
STYL|Style Band
SUKY|Suk Young Moon
SULT|Sultans Of Swing
SUPH|Super Hero
SUSL|The Latest Craze
SWAS|Swinging on A Star
SWCP|Susan Wall's - Carousel Puppets
SWSM|The Swingin' Swamis
SWSS|Swing Speak
TALK|Talk Of The Town
TBNM|Tony Berry and New Money
TCOV|Tony Covay
TDAN|The Danger Show
TEMP|Temporary Tattoos
TEST|Test
TFCB|TFC (Time For Change)
TFLB|The Fasionably Late Band
TFLY|Flying Cows Of Ventry
THAP|The Approach
THDI|Billie Jo & The Distractions
THES|The Essentials
THMO|The Mooks
THOR|The Orioles Bird
THRE|Three of a Kind
TIKP|Tim Kirkpatrick
TIMB|Tim Beasley
TIMH|Tim Hall Productions
TIWL|Timberwolf
TMRB|Regal Beagles
TMRN|Tim Marrone
TMUS|Mustangs
TNEW|The Newports
TNFT|The New Fantoms
TNWR|Tony Ware
TOCC|Tom Crowl
TOCO|Tom Cunningham Orchestra
TODD|Todd Simon
TOJO|Tom Jones
TOKA|Tom Kaufman Productions
TOKN|Tim O'Kane
TOLI|Tom Lily
TOMF|Tomfoolery
TOND|Tony Denikos
TONF|Ton Of Fun
TOSC|Tony Sciuto
TOWE|Tower Of Power
TPAR|Parrot Man
TPLY|The Players
TPMR|T. P. Mulrooney
TPRM|The President's Men
TRCA|Trio Caliente
TRCI|Tracy Cioffi
TREV|TreVoche
TRHE|DJ Troy Hernandez
TRIB|Tribute Productions
TROC|The Rockin Reasons
TROP|Tropic Of Capricorn
TSOR|Starlite Orchestra
TTRI|1964 The Tribute
TTSO|T & T Steel Orchestra
TUES|Tuesday in October
TUXE|Tuxedo Junction
TWAL|The Waller Family
TWIZ|The Wizz
UJVQ|Uptown Vocal Jazz Quartet
ULTI|Ultimate Entertainment
UNIQ|New York's Unique Entertainment Corp.
UPFR|Upfront
URGO|Urban Guerilla Orchestra
VCAR|Victorian Carollers
VHLM|Vegas Heat
VIPB|Event Digital Imaging
VODO|Voodoo Economics
VOLT|The Voltage Brothers
WAAC|Wacky Action Photos
WACA|Washington Capitals Mascot - Slapshot
WAGR|Washington Graphics
WALA|Wayne Alan
WAPA|Washington Photo - Aura Camera
WAPB|Photo Booth XL
WAPC|Washington Photo - Chris Burch
WAPD|Washington Photo - David Hartzman
WAPF|Washington Photo - Fernando Ramirez
WAPG|Washington Photo - Bill Millios
WAPH|Washington Photo
WAPI|Washington Photo - Riza Peralta
WAPJ|Washington Photo - Jack Hartzman
WAPK|Washington Photo - Kyle Martell
WAPM|Washington Photo - Monica Vidal
WAPN|Washington Photo Novelties
WAPO|PopNoggins
WAPP|Washington Photo - Michael Paolantonio
WAPR|Washington Photo - Rick Miller
WAPS|Signs in a Flash!
WAPT|Signs in a Flash! II
WAPW|Washington Photo - Dan Levine
WAPX|Washington Photo - Peter Stepanek
WAPY|Washington Photo - Yakov Gindin
WAPZ|Washington Photo - Sasha Feinman
WBAW|Willie Brown & Woody
WBTP|Washington Brass
WESJ|Wes Johnson
WHIP|Whipflash
WHPR|Whisper Productions
WILD|Wild Wild Wax
WLDF|Lighted Dance Floors
WLIG|Washington Lighting
WLPL|IMAG Experience- Plasmas
WLPS|IMAG Experience- Projection Screens
WMHI|High Impact
WONG|Wong Chinese Lion Dancers
WPAR|Wayne Parr
WPPE|Walter Perkel
WRSK|Washington Redskinettes
WSEE|Eye 2 Eye
WSSE|Washington Talent Security
WSST|Washington Strings
WTAA|WTA Agent
WTMR|WTA Roadies
WVDS|Washington Video Duplicating Services
WVPD|Washington Video
WVPM|Washington Video- Photo Montage
WVPR|WTA/Video Projector
YDIV|Youthful Diversions
YESO|Yesodot
YOCO|The Young Columbians
YVON|Yvonne Johnson
ZACK|Zack Smith
ZARI|Zarina
ZEME|Zemer Orchestra
ZOLT|Zoltan Racz
ZYDC|Zydeco Crayz
ZYDR|Cane Cutters